,Unnamed: 0,Username,Location,Date Created,Tweet
0,0,MYSTICMAYH3M,"North Carolina, USA",2011-07-30 22:21:02,"She wants it out there, said it herself. #KarenStrikesAgain https://t.co/9nx6npE9v5"
1,1,maya_angelou01,South Africa,2009-07-02 11:14:34,It’s so amazing how consistent these #Karen’s are ... no matter the country or continent... #KarenStrikesAgain https://t.co/IkQbyZEc1W
2,2,aparker70,New England,2009-03-18 23:13:43,Absolutely delightful.  Give it a peek #KarenStrikesAgain https://t.co/Fv9c0dewDb
3,3,FuckoffKaren1,White Male Privilege land! ,2020-05-22 08:53:54,Karen catches her man on the dance floor cutting some moves with a young lady!    #karens #karen #KarenStrikesAgain… https://t.co/FUEaPfm1bq
4,4,Nylon09,"New York, USA",2009-06-20 12:15:18,I feel sorry for her children... Why are all leftists women shriekers?  #AntifaTerrorist #KarenStrikesAgain https://t.co/vlLtkOYBGX
5,5,FuckoffKaren1,White Male Privilege land! ,2020-05-22 08:53:54,Russian Karen does not believe in COVID19! #karens #karen #KarenStrikesAgain #karensgonewild https://t.co/d93ny6ip8T
6,6,FuckoffKaren1,White Male Privilege land! ,2020-05-22 08:53:54,Yet another KKKaren! What is it with these racist biatches? you should be allowed to slap em hard if the use the N… https://t.co/uOr1dqVmhy
7,7,nosycyndie,Blue USA,2014-04-09 16:28:29,"@kiirowulf Funny AF, ""know you can leave"" #Karen , you dont work there😂 
Fckn #KarenStrikesAgain"
8,8,FuckoffKaren1,White Male Privilege land! ,2020-05-22 08:53:54,KKKaren be racially abusing peeps again... she gets a suitable kicking #karens #karen #KarenStrikesAgain… https://t.co/LeJSqggqQB
9,9,terracloudd,everywhere,2016-03-05 11:54:42,"@KatieBr22129903 @RexChapman Another KKKaren supporting another KKKaren, what shock 🤣🤣 #KarenStrikesAgain https://t.co/dpDqtfTbud"
10,10,FuckoffKaren1,White Male Privilege land! ,2020-05-22 08:53:54,"Black Karen here is moaning about the water fight to the cops. LOL, dum biatch! #karens #karen #KarenStrikesAgain… https://t.co/NO8TLPNdPg"
11,11,terracloudd,everywhere,2016-03-05 11:54:42,"Seriously this thing happen again and again,, twitter folks lets do our job to find these KKKaren and her 'whole fa… https://t.co/rmrjXPZ2qG"
12,12,Ajones32,"Charlotte, NC",2008-11-18 19:47:44,Classic #Karen on another episode of #KarenStrikesAgain this time #Karen yells at the Taco Bell drive thru staff th… https://t.co/iWVqY9PQ4d
13,13,KMajoney,Trumpistan,2019-04-11 21:07:44,@RexChapman Wow. There are alot more Karens than we imagined. #KarenStrikesAgain
14,14,KyleChristian_M,"Atlanta, GA",2016-10-25 02:30:14,Karen before she goes into victim mode 🙄 #KarenStrikesAgain #karen https://t.co/zQsI3vXdf4
15,15,cookie_grrrl, I rarely read @s 'cause bots.,2016-01-15 05:25:57,White folx losing their damn minds at record pace... “Who wears black in the California sun?!?!?!”… https://t.co/JQJc7rSDfv
16,16,Drunkfrancois,"Sacramento, Ca ",2012-09-04 05:10:28,Oh shit what in the world!?  Yo its likeep everyday now we see another video of a minority being harrassed by a rac… https://t.co/ohVd3Hhx2R
17,17,fancyme84,,2012-03-13 15:11:19,We are Karen-ing tf out of rasict ppl to their employers on social media 🤣🤣🤣🤣🤣#BlackLivesMattters #Karen #KarenStrikesAgain
18,18,jacobflowers,,2009-04-27 05:20:55,"Sorry, I couldn’t resist 😏

#KarenStrikesAgain #KarenGoneWild #Karens #Karen https://t.co/CBG7huwurk"
